MONTH_ORDER,START_DATE,END_DATE,TRANSACTION_FINAL_COUNT,NET_SALES_FINAL_USD_AMOUNT
243,29-04-2019,05-05-2019,393326,6913737.299999992
242,06-05-2019,12-05-2019,375077,6734222.97000001
241,13-05-2019,19-05-2019,386524,6912350.490000008
240,20-05-2019,26-05-2019,378380,6670286.779999997
239,27-05-2019,02-06-2019,384750,6899741.37000001
238,03-06-2019,09-06-2019,390162,6868128.920000001
237,10-06-2019,16-06-2019,388906,6916023.470000013
236,17-06-2019,23-06-2019,382970,6690786.840000002
235,24-06-2019,30-06-2019,386492,6736302.669999998
234,01-07-2019,07-07-2019,374598,6733226.059999995
233,08-07-2019,14-07-2019,381140,6691581.439999989
232,15-07-2019,21-07-2019,398910,6854770.329999997
231,22-07-2019,28-07-2019,400981,6875538.639999997
230,29-07-2019,04-08-2019,438850,7520391.749999985
229,05-08-2019,11-08-2019,386770,6801441.689999996
228,12-08-2019,18-08-2019,390241,6796781.73
227,19-08-2019,25-08-2019,382004,6629684.989999992
226,26-08-2019,01-09-2019,385809,6662411.190000001
225,02-09-2019,08-09-2019,407638,7268274.630000002
224,09-09-2019,15-09-2019,411516,7178090.919999987
223,16-09-2019,22-09-2019,414866,7224466.789999995
222,23-09-2019,29-09-2019,427166,7531081.190000008
221,30-09-2019,06-10-2019,425572,7374797.730000009
220,07-10-2019,13-10-2019,412941,7226259.370000012
219,14-10-2019,20-10-2019,418929,7365333.560000014
218,21-10-2019,27-10-2019,412270,7215539.700000002
217,28-10-2019,03-11-2019,425981,7638663.149999999
216,04-11-2019,10-11-2019,417806,7221529.730000016
215,11-11-2019,17-11-2019,406338,7077583.110000022
214,18-11-2019,24-11-2019,406352,7140359.079999986
213,25-11-2019,01-12-2019,350951,6320396.519999995
212,02-12-2019,08-12-2019,414794,7252604.019999991
211,09-12-2019,15-12-2019,405408,7152189.510000012
210,16-12-2019,22-12-2019,409150,7339311.589999993
209,23-12-2019,29-12-2019,363238,6792480.240000006
208,30-12-2019,05-01-2020,405764,7696830.910000004
207,06-01-2020,12-01-2020,392389,7025877.540000003
206,13-01-2020,19-01-2020,403041,7377724.609999991
205,20-01-2020,26-01-2020,384619,6841040.090000007
204,27-01-2020,02-02-2020,431596,8626802.73
203,03-02-2020,09-02-2020,388146,6884003.480000005
202,10-02-2020,16-02-2020,409389,7451675.040000001
201,17-02-2020,23-02-2020,419546,7593779.930000007
200,24-02-2020,01-03-2020,455972,8299102.089999993
199,02-03-2020,08-03-2020,451337,8215140.830000006
198,09-03-2020,15-03-2020,426869,7822040.680000002
197,16-03-2020,22-03-2020,377642,7720494.450000006
196,23-03-2020,29-03-2020,385101,8244318.569999992
195,30-03-2020,05-04-2020,390494,8496591.84999998
194,06-04-2020,12-04-2020,355215,7751510.289999989
193,13-04-2020,19-04-2020,451736,10485178.38999999
192,20-04-2020,26-04-2020,441954,10086068.140000004
191,27-04-2020,03-05-2020,446634,9908927.85
190,04-05-2020,10-05-2020,429276,9407833.430000005
189,11-05-2020,17-05-2020,447243,9766326.429999985
188,18-05-2020,24-05-2020,436118,9415837.090000005
187,25-05-2020,31-05-2020,421568,9052089.910000002
186,01-06-2020,07-06-2020,413586,8759210.709999997
185,08-06-2020,14-06-2020,417849,8796148.599999988
184,15-06-2020,21-06-2020,413198,8695164.099999998
183,22-06-2020,28-06-2020,441532,9162955.539999988
182,29-06-2020,05-07-2020,418563,8738380.179999992
181,06-07-2020,12-07-2020,446481,9375680.310000014
180,13-07-2020,19-07-2020,444965,9250632.820000011
179,20-07-2020,26-07-2020,450812,9355274.90000001
178,27-07-2020,02-08-2020,492107,10025126.019999972
177,03-08-2020,09-08-2020,445305,9186188.790000018
176,10-08-2020,16-08-2020,441537,9121923.880000014
175,17-08-2020,23-08-2020,444223,9089350.249999998
174,24-08-2020,30-08-2020,435309,8826940.789999997
173,31-08-2020,06-09-2020,440341,9086647.159999996
172,07-09-2020,13-09-2020,448352,9479997.16999999
171,14-09-2020,20-09-2020,443577,9215907.06
170,21-09-2020,27-09-2020,452547,9432834.099999977
169,28-09-2020,04-10-2020,446400,9189346.209999993
168,05-10-2020,11-10-2020,434261,8984679.520000018
167,12-10-2020,18-10-2020,427860,8805493.899999997
166,19-10-2020,25-10-2020,442626,9113789.359999983
165,26-10-2020,01-11-2020,443542,9243678.450000005
164,02-11-2020,08-11-2020,446675,9147302.439999983
163,09-11-2020,15-11-2020,436301,8915384.7
162,16-11-2020,22-11-2020,434592,8928573.43
161,23-11-2020,29-11-2020,379365,7953358.330000012
160,30-11-2020,06-12-2020,454242,9376314.190000007
159,07-12-2020,13-12-2020,448843,9279184.82
158,14-12-2020,20-12-2020,449688,9359328.500000002
157,21-12-2020,27-12-2020,370775,7856103.910000002
156,28-12-2020,03-01-2021,470484,10508770.949999971
155,04-01-2021,10-01-2021,457081,9672197.340000004
154,11-01-2021,17-01-2021,458764,9719907.679999989
153,18-01-2021,24-01-2021,448035,9551498.739999987
152,25-01-2021,31-01-2021,430457,8919612.110000003
151,01-02-2021,07-02-2021,462203,10482859.510000039
150,08-02-2021,14-02-2021,406572,8429397.399999985
149,15-02-2021,21-02-2021,383698,8198107.5200000005
148,22-02-2021,28-02-2021,453458,9535496.949999992
147,01-03-2021,07-03-2021,455475,9571758.529999975
146,08-03-2021,14-03-2021,470771,9903981.640000004
145,15-03-2021,21-03-2021,519333,11315929.989999995
144,22-03-2021,28-03-2021,507446,10847903.47999999
143,29-03-2021,04-04-2021,474442,10068627.130000006
142,05-04-2021,11-04-2021,509658,10838150.839999985
141,12-04-2021,18-04-2021,492057,10466229.680000013
140,19-04-2021,25-04-2021,494715,10520262.890000012
139,26-04-2021,02-05-2021,491323,10420432.960000029
138,03-05-2021,09-05-2021,467457,9956706.810000008
137,10-05-2021,16-05-2021,480992,10152564.710000021
136,17-05-2021,23-05-2021,483466,10248492.968200004
135,24-05-2021,30-05-2021,479903,10177820.294799991
134,31-05-2021,06-06-2021,473049,10163641.574399985
133,07-06-2021,13-06-2021,469206,9953499.836999979
132,14-06-2021,20-06-2021,465079,9942330.971100012
131,21-06-2021,27-06-2021,497675,10388177.762200013
130,28-06-2021,04-07-2021,473392,9936360.18429999
129,05-07-2021,11-07-2021,486211,10406808.290000001
128,12-07-2021,18-07-2021,489644,10401708.20000002
127,19-07-2021,25-07-2021,478508,10132060.270000027
126,26-07-2021,01-08-2021,493592,10525812.819999985
125,02-08-2021,08-08-2021,474502,10092562.380000021
124,09-08-2021,15-08-2021,470083,10040936.980000028
123,16-08-2021,22-08-2021,475092,10118131.58000001
122,23-08-2021,29-08-2021,477158,10189636.990000034
121,30-08-2021,05-09-2021,480606,10320218.859999983
120,06-09-2021,12-09-2021,488759,10759209.129999999
119,13-09-2021,19-09-2021,492222,10677312.619999997
118,20-09-2021,26-09-2021,476945,10284386.460000003
117,27-09-2021,03-10-2021,484124,10522330.68000001
116,04-10-2021,10-10-2021,473728,10373712.830000028
115,11-10-2021,17-10-2021,478895,10495316.640000008
114,18-10-2021,24-10-2021,468546,10182811.550000004
113,25-10-2021,31-10-2021,475408,10543596.62999999
112,01-11-2021,07-11-2021,476140,10463894.850000005
111,08-11-2021,14-11-2021,473661,10353745.899999993
110,15-11-2021,21-11-2021,482821,10564163.29000004
109,22-11-2021,28-11-2021,407003,9124345.810000002
108,29-11-2021,05-12-2021,498767,10927581.22
107,06-12-2021,12-12-2021,492514,10834273.310000008
106,13-12-2021,19-12-2021,504893,11294840.529999996
105,20-12-2021,26-12-2021,411378,9378053.89999998
104,27-12-2021,02-01-2022,499161,11894543.830000015
103,03-01-2022,09-01-2022,471397,10671293.969999962
102,10-01-2022,16-01-2022,481111,11065434.069999997
101,17-01-2022,23-01-2022,469692,10733526.51
100,24-01-2022,30-01-2022,471145,10666047.339999964
99,31-01-2022,06-02-2022,440598,9829199.539999997
98,07-02-2022,13-02-2022,491436,12033122.739999987
97,14-02-2022,20-02-2022,469530,10457342.92999997
96,21-02-2022,27-02-2022,474732,10704864.829999996
95,28-02-2022,06-03-2022,482861,10760984.980000006
94,07-03-2022,13-03-2022,469643,10522686.709999995
93,14-03-2022,20-03-2022,479963,10877218.139999967
92,21-03-2022,27-03-2022,475962,10736014.420000024
91,28-03-2022,03-04-2022,491008,11010385.149999997
90,04-04-2022,10-04-2022,476949,10674023.140000015
89,11-04-2022,17-04-2022,450018,9859442.720000003
88,18-04-2022,24-04-2022,515423,11333234.84
87,25-04-2022,01-05-2022,512184,11043090.109999966
86,02-05-2022,08-05-2022,495552,10945137.029999992
85,09-05-2022,15-05-2022,494259,10895015.299999997
84,16-05-2022,22-05-2022,493135,10856484.079999998
83,23-05-2022,29-05-2022,497683,11064141.659999998
82,30-05-2022,05-06-2022,498351,11111005.719999991
81,06-06-2022,12-06-2022,487820,10799307.279999977
80,13-06-2022,19-06-2022,479922,10731927.360000001
79,20-06-2022,26-06-2022,478194,10577799.440000014
78,27-06-2022,03-07-2022,498308,11060909.060000015
77,04-07-2022,10-07-2022,501515,11246028.960000012
76,11-07-2022,17-07-2022,532677,11780222.420000022
75,18-07-2022,24-07-2022,542424,12052390.609999986
74,25-07-2022,31-07-2022,570475,12483128.79
73,01-08-2022,07-08-2022,523111,11580745.49999999
72,08-08-2022,14-08-2022,523709,11541090.909999968
71,15-08-2022,21-08-2022,528004,11614354.859999966
70,22-08-2022,28-08-2022,509609,11152252.632299986
69,29-08-2022,04-09-2022,655455,13685065.70909997
68,05-09-2022,11-09-2022,587159,13014598.400900008
67,12-09-2022,18-09-2022,535820,11922758.227899963
66,19-09-2022,25-09-2022,517922,11427936.771199994
65,26-09-2022,02-10-2022,523497,11644332.188099988
64,03-10-2022,09-10-2022,544868,11725659.662399994
63,10-10-2022,16-10-2022,558008,12033666.403800016
62,17-10-2022,23-10-2022,546397,11725095.931000028
61,24-10-2022,30-10-2022,547747,11804429.651899993
60,31-10-2022,06-11-2022,559266,12125114.181100003
59,07-11-2022,13-11-2022,560653,11889427.116400013
58,14-11-2022,20-11-2022,551427,11957565.588200016
57,21-11-2022,27-11-2022,474195,10640215.083999995
56,28-11-2022,04-12-2022,580381,12636190.603399988
55,05-12-2022,11-12-2022,605437,13216435.117200032
54,12-12-2022,18-12-2022,602699,13250603.548799992
53,19-12-2022,25-12-2022,454924,10155814.95079999
52,26-12-2022,01-01-2023,617905,14580271.653100034
51,02-01-2023,08-01-2023,593737,13254139.853299974
50,09-01-2023,15-01-2023,588479,13231905.217199987
49,16-01-2023,22-01-2023,590749,13382145.698800018
48,23-01-2023,29-01-2023,584539,13005220.596000006
47,30-01-2023,05-02-2023,553992,12229977.202500032
46,06-02-2023,12-02-2023,612357,14981289.381499996
45,13-02-2023,19-02-2023,587224,13179545.359000022
44,20-02-2023,26-02-2023,607463,13765811.906300014
43,27-02-2023,05-03-2023,615256,13955720.673800007
42,06-03-2023,12-03-2023,602284,13637797.889299957
41,13-03-2023,19-03-2023,677604,15849789.650900012
40,20-03-2023,26-03-2023,635608,14647281.71679998
39,27-03-2023,02-04-2023,608850,13855066.889700023
38,03-04-2023,09-04-2023,554223,12557146.234300004
37,10-04-2023,16-04-2023,602495,13528551.790000007
36,17-04-2023,23-04-2023,658255,14901070.509999964
35,24-04-2023,30-04-2023,618341,13905217.529999994
34,01-05-2023,07-05-2023,607357,13704978.630900025
33,08-05-2023,14-05-2023,596818,13636334.317800036
32,15-05-2023,21-05-2023,640248,14089450.180399973
31,22-05-2023,28-05-2023,584603,13345164.183400005
30,29-05-2023,04-06-2023,587852,13423312.319299975
29,05-06-2023,11-06-2023,595409,13475327.331999965
28,12-06-2023,18-06-2023,592487,13498296.661799965
27,19-06-2023,25-06-2023,604061,13773455.974999972
26,26-06-2023,02-07-2023,609861,13857812.185300004
25,03-07-2023,09-07-2023,603101,13887343.460499994
